objectid,sort_index,parentid,admin_notes,title,creator,date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
intro,0,,,,,,,,,,,,,,markdown,,,,,,objects/markdown/000-intro.md,,,,
day-1-mon-oct-18,1,,,"Day 1 - Mon, Oct 18",Miriam Abia McFate,1926-10-18,,iowa,,Home,41.84585,-92.59081,,,markdown,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,objects/markdown/001-mon-oct-18-1926.md,,,,
day-2-tue-oct-19,2,,,"Day 2 - Tue, Oct 19",Miriam Abia McFate,1926-10-19,,iowa,,US Hwy 63 & US 6,41.75536,-92.18319,,,markdown,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,objects/markdown/002-tue-oct-19-1926.md,,,,
day-3-wed-oct-20,3,,,"Day 3 - Wed, Oct 20",Miriam Abia McFate,1926-10-20,,illinois,,"Victor, IA",41.38525,-90.66839,,,markdown,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,objects/markdown/003-wed-oct-20-1926.md,,,,
day-4-thu-oct-21,4,,,"Day 4 - Thu, Oct 21",Miriam Abia McFate,1926-10-21,,illinois,,"Ladora, IA",40.03833,-90.46565,,,markdown,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,objects/markdown/004-thu-oct-21-1926.md,,,,
day-5-fri-oct-22,5,,,"Day 5 - Fri, Oct 22",Miriam Abia McFate,1926-10-22,,missouri,,"Ladora, IA",39.79456,-91.52299,,,markdown,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,objects/markdown/005-fri-oct-22-1926.md,,,,
day-6-sat-oct-23,6,,,"Day 6 - Sat, Oct 23",Miriam Abia McFate,1926-10-23,,missouri,,"Marengo, IA",39.39477,-91.11459,,,markdown,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,objects/markdown/006-sat-oct-23-1926.md,,,,
day-7-sun-oct-24,7,,,"Day 7 - Sun, Oct 24",Miriam Abia McFate,1926-10-24,,missouri; st. charles,,"Williamsburg, IA",38.74725,-90.53313,,,markdown,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,objects/markdown/007-sun-oct-24-1926.md,,,,
day-8-mon-oct-25,8,,,"Day 8 - Mon, Oct 25",Miriam Abia McFate,1926-10-25,,missouri; st. louis,,"Iowa City, IA",38.70519,-90.29858,,,markdown,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,objects/markdown/008-mon-oct-25-1926.md,,,,
day-9-tue-oct-26,9,,,"Day 9 - Tue, Oct 26",Miriam Abia McFate,1926-10-26,,missouri; st. louis,,"West Liberty, IA",38.70519,-90.29858,,,markdown,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,objects/markdown/009-tue-oct-26-1926.md,,,,
day-10-wed-oct-27,10,,,"Day 10 - Wed, Oct 27",Miriam Abia McFate,1926-10-27,,missouri; st. louis,,"Davenport, IA",38.70519,-90.29858,,,markdown,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,objects/markdown/010-wed-oct-27-1926.md,,,,
day-11-thu-oct-28,11,,,"Day 11 - Thu, Oct 28",Miriam Abia McFate,1926-10-28,,missouri; st. louis,,"Rock Island, IL",38.70519,-90.29858,,,markdown,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,objects/markdown/011-thu-oct-28-1926.md,,,,
day-12-fri-oct-29,12,,,"Day 12 - Fri, Oct 29",Miriam Abia McFate,1926-10-29,,missouri; st. louis,,Farm Yard Camp,38.70519,-90.29858,,,markdown,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,objects/markdown/012-fri-oct-29-1926.md,,,,
day-13-sat-oct-30,13,,,"Day 13 - Sat, Oct 30",Miriam Abia McFate,1926-10-30,,missouri; st. louis,,rural Illinois,38.70519,-90.29858,,,markdown,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,objects/markdown/013-sat-oct-30-1926.md,,,,
day-14-sun-oct-31,14,,,"Day 14 - Sun, Oct 31",Miriam Abia McFate,1926-10-31,,missouri,,"Aledo, IL",37.76084,-90.4461,,,markdown,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,objects/markdown/014-sun-oct-31-1926.md,,,,
day-15-mon-nov-1,15,,,"Day 15 - Mon, Nov 1",Miriam Abia McFate,1926-11-01,,missouri,,"Little York, IL",37.57028,-90.31807,,,markdown,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,objects/markdown/015-mon-nov-1-1926.md,,,,
