Index,Day Number,Date,Where,What,Arrival,Departure,Coordinates,Lat,Lon,Miles,Daily Mileage,Avg. Pace (MPH),Total Mileage,Subjects,Notes,People
1,0,1926-10-18 13:47,rural Poweshiek County,Departed from the farm around 1:47 PM.,,1:47 PM,"41.84585° N, 92.59081° W",41.84585,-92.59081,0.00,0,0.00,0,,,
2,1,,along old Route 6,The group waited while Clarence drove about 6 miles west to Grinnell for supplies.,,,"41.73172° N, 92.59044° W",41.73172,-92.59044,7.89,7.89,,7.89,,The group waited while Clarence drove into Grinnell for supplies.,
3,1,,"Victor, IA","Stopped in Victor for gas, oil and groceries.",,4:25 PM,"41.73070° N, 92.29549° W",41.73070,-92.29549,15.21,23.09,,23.09,gas; oil; groceries;,"Stopped in Victor for gas, oil and groceries.",
4,1,"Mon, Oct, 18, 1926","Ladora, IA",First overnight stop at a free campground near the track.  Did not sleep well here.,5:30 PM,5:25 AM,"41.75478° N, 92.18506° W",41.75478,-92.18506,5.93,29.03,,29.03,,,
5,2,,"Marengo, IA","Detour required, heading south to reach Williamsburg",,,"41.79297° N, 92.07438° W",41.79297,-92.07438,6.28,6.28,,35.31,,,
6,2,,"Williamsburg, IA",,,,"41.66163° N, 92.00749° W",41.66163,-92.00749,9.71,15.99,,45.02,breakdown,,
7,2,,"Iowa City, IA",,9:22 AM,9:30 AM,"41.65785° N, 91.53917° W",41.65785,-91.53917,24.18,40.17,,69.19,,,
8,2,,"West Liberty, IA",Repaired an oil leak.,10:55 AM,12:30 PM,"41.57299° N, 91.26114° W",41.57299,-91.26114,15.51,55.68,,84.71,repair,,
9,2,,"Davenport, IA",,3:30 PM,4:00 PM,"41.51979° N, 90.58408° W",41.51979,-90.58408,35.20,90.88,,119.91,,,
10,2,,"Rock Island, IL",Purchased gas and oil.,,,"41.50951° N, 90.57779° W",41.50951,-90.57779,0.78,91.67,,120.69,gas; oil;,,
11,2,"Tue, Oct, 19, 1926",camped in a farm yard,Another breakdown so they camped in a farm yard.,6:25 PM,7:30 AM,"41.38525° N, 90.66839° W",41.38525,-90.66839,9.78,101.45,,130.47,breakdown,,
12,3,,"Aledo, IL",Groceries,,8:55 AM,"41.19962° N, 90.74918° W",41.19962,-90.74918,13.49,13.49,,143.97,repair; groceries,,
13,3,,"Little York, IL",Gas and Oil at Filling Station,,,"41.06823° N, 90.74464° W",41.06823,-90.74464,9.08,22.58,,153.05,gas; oil,,
14,3,,"Monmouth, IL",Oiled Up and Fixed Tire,11:00 AM,11:25 AM,"40.91247° N, 90.64752° W",40.91247,-90.64752,11.89,34.47,,164.94,repair; tire; wheel,,
15,3,,rural Illinois,Stopped for dinner and forgot Jimmy the dog.  Left him behind.,12:30 PM,,"40.91242° N, 90.64752° W",40.91242,-90.64752,0.00,34.47,,164.95,,,
16,3,,"Good Hope, IL",Oiled Truss Rods and Tire,1:55 PM,,"40.55736° N, 90.67496° W",40.55736,-90.67496,24.57,59.05,,189.52,repair; tire; wheel,,
17,3,,"Macomb, IL",,2:30 PM,,"40.45942° N, 90.67208° W",40.45942,-90.67208,6.77,65.82,,196.29,,,
18,3,"Wed, Oct, 20, 1926","Fredricks, IL",Camped at Oil Station,5:30 PM,9:30 AM,"40.05694° N, 90.50084° W",40.05694,-90.50084,29.24,95.05,,225.53,testing; multi-value,,
19,4,,"Rushville, IL",Route Flooded at Beardstown,,,"40.12022° N, 90.57847° W",40.12022,-90.57847,6.00,6.00,,231.52,testing; multi-value,,
20,4,,"Mt. Sterling, IL",,11:30 AM,,"39.98363° N, 90.76533° W",39.98363,-90.76533,13.67,19.66,,245.19,,,
21,4,,"Clayton, IL",,12:15 PM,1:00 PM,"40.02609° N, 90.95915° W",40.02609,-90.95915,10.67,30.33,,255.86,,,
